case_id,num_events,start_time,end_time,case_duration_seconds,final_event,final_status,split,outcome_label,outcome_label_id
173688,13,2011-10-01 00:39:38,2011-10-13 10:37:37,1072679.0,WTa,a,train,WTa,6
173691,22,2011-10-01 08:09:59,2011-10-10 14:17:34,799655.0,WTa,a,train,WTa,6
173694,38,2011-10-01 08:11:13,2012-02-15 12:29:26,11852293.0,WUb,b,test,WUb,8
173703,5,2011-10-01 09:46:18,2011-10-01 13:02:12,11754.0,WHa,a,train,WHa,2
173706,10,2011-10-01 09:46:18,2011-10-01 15:00:02,18824.0,WHa,a,train,WHa,2
173709,8,2011-10-01 09:58:27,2011-11-01 09:15:08,2675801.0,WHa,a,test,WHa,2
173712,10,2011-10-01 09:58:44,2011-10-03 14:42:55,189851.0,WHa,a,train,WHa,2
173715,13,2011-10-01 09:59:43,2011-10-13 11:05:28,1040745.0,WTa,a,test,WTa,6
173718,60,2011-10-01 10:38:21,2011-10-27 09:18:01,2241580.0,WTa,a,train,WTa,6
173721,24,2011-10-01 11:08:17,2011-10-10 16:28:29,796812.0,WKa,a,train,WKa,3
173724,16,2011-10-01 11:53:00,2011-10-03 15:48:20,186920.0,WHa,a,val,WHa,2
173730,63,2011-10-01 12:36:59,2011-10-21 09:08:21,1715482.0,WTa,a,train,WTa,6
173733,3,2011-10-01 12:40:14,2011-10-01 14:54:56,8082.0,WDa,a,train,WDa,0
173736,33,2011-10-01 13:02:44,2011-10-18 12:01:37,1465133.0,WTa,a,train,WTa,6
173739,35,2011-10-01 13:13:42,2011-10-14 16:22:55,1134553.0,WTa,a,train,WTa,6
173742,36,2011-10-01 13:44:28,2011-10-14 15:52:09,1130861.0,WHa,a,train,WHa,2
173745,9,2011-10-01 14:08:29,2011-10-08 12:45:59,599850.0,WLa,a,train,WLa,4
173748,24,2011-10-01 14:10:03,2011-10-03 16:44:24,182061.0,WLa,a,train,WLa,4
173751,11,2011-10-01 14:15:21,2011-10-11 10:39:37,851056.0,WTa,a,train,WTa,6
173754,38,2011-10-01 14:50:51,2011-10-14 14:28:41,1121870.0,WEa,a,train,WEa,1
173760,13,2011-10-01 15:15:57,2011-10-14 15:41:11,1124714.0,WTa,a,test,WTa,6
173763,3,2011-10-01 16:09:35,2011-10-01 16:38:43,1748.0,WDa,a,train,WDa,0
173766,25,2011-10-01 16:12:45,2011-10-06 20:52:12,448767.0,WHa,a,train,WHa,2
173775,5,2011-10-01 16:59:32,2011-10-03 10:38:04,149912.0,WHa,a,test,WHa,2
173778,3,2011-10-01 17:50:11,2011-10-03 09:04:57,141286.0,WDa,a,train,WDa,0
173781,3,2011-10-01 18:11:14,2011-10-03 09:25:12,141238.0,WHa,a,test,WHa,2
173784,95,2011-10-01 19:06:42,2011-11-15 12:50:36,3865434.0,WTa,a,val,WTa,6
173787,21,2011-10-01 19:06:46,2011-10-19 18:51:57,1554311.0,WLa,a,test,WLa,4
173790,15,2011-10-01 19:14:58,2011-10-10 14:22:43,760065.0,WTa,a,train,WTa,6
173793,23,2011-10-01 19:33:29,2011-10-18 11:25:11,1439502.0,WTa,a,train,WTa,6
173796,10,2011-10-01 20:19:54,2011-10-10 17:23:56,767042.0,WLa,a,train,WLa,4
173799,9,2011-10-01 20:28:25,2011-10-04 18:30:30,252125.0,WHa,a,train,WHa,2
173802,3,2011-10-01 20:36:08,2011-10-03 09:07:20,131472.0,WDa,a,train,WDa,0
173805,31,2011-10-01 21:08:45,2011-11-03 09:15:16,2808391.0,WLa,a,test,WLa,4
173811,38,2011-10-01 23:00:06,2011-11-03 09:15:25,2801719.0,WLa,a,train,WLa,4
173814,6,2011-10-01 23:01:53,2011-10-03 11:15:49,130436.0,WHa,a,test,WHa,2
173817,14,2011-10-02 00:58:16,2011-10-11 09:15:48,807452.0,WTa,a,train,WTa,6
173823,13,2011-10-02 09:24:08,2011-10-13 09:36:24,951136.0,WTa,a,train,WTa,6
173826,16,2011-10-02 09:39:27,2011-10-03 14:39:28,104401.0,WHa,a,train,WHa,2
173829,8,2011-10-02 09:55:28,2011-10-03 09:38:50,85402.0,WHa,a,train,WHa,2
173835,20,2011-10-02 10:21:20,2011-10-18 14:12:46,1396286.0,WLa,a,val,WLa,4
173841,7,2011-10-02 10:57:55,2011-10-04 13:59:22,183687.0,WHa,a,val,WHa,2
173844,13,2011-10-02 11:04:15,2011-10-11 14:57:09,791574.0,WTa,a,train,WTa,6
173847,9,2011-10-02 11:27:04,2011-10-12 10:52:13,861909.0,WTa,a,val,WTa,6
173856,5,2011-10-02 11:45:48,2011-10-03 09:26:39,78051.0,WDa,a,test,WDa,0
173859,11,2011-10-02 11:47:55,2011-10-10 16:43:55,708960.0,WLa,a,train,WLa,4
173862,3,2011-10-02 12:05:19,2011-10-03 09:30:10,77091.0,WDa,a,val,WDa,0
173868,17,2011-10-02 12:25:04,2011-10-26 08:07:39,2058155.0,WTa,a,train,WTa,6
173871,25,2011-10-02 13:06:18,2011-10-14 10:05:57,1025979.0,WTa,a,train,WTa,6
173880,43,2011-10-02 13:24:24,2011-11-04 13:09:47,2850323.0,WTa,a,val,WTa,6
173889,3,2011-10-02 14:42:29,2011-10-03 09:36:33,68044.0,WDa,a,train,WDa,0
173898,17,2011-10-02 16:05:52,2011-10-13 20:00:48,964496.0,WLa,a,val,WLa,4
173901,3,2011-10-02 16:12:57,2011-10-03 09:33:46,62449.0,WDa,a,test,WDa,0
