case_id,num_events,start_time,end_time,case_duration_seconds,final_event,final_status,split,outcome_label,outcome_label_id
1-109135791,5,2006-01-11 15:49:42,2012-03-15 12:11:33,194818911.0,Bd,d,train,risk_high,0
1-147898401,6,2006-11-07 10:00:36,2012-01-20 10:23:27,164161371.0,Bd,d,train,risk_high,0
1-165554831,5,2007-03-20 09:06:25,2012-01-18 08:52:43,152495178.0,Bd,d,train,risk_high,0
1-172473423,5,2007-05-10 16:21:54,2012-01-18 08:21:10,148060756.0,Bd,d,val,risk_high,0
1-182640781,7,2007-07-25 14:21:05,2012-01-03 11:31:53,140217048.0,Bd,d,train,risk_high,0
1-230541365,7,2008-05-07 18:58:51,2012-01-20 07:53:35,116859284.0,Bd,d,test,risk_high,0
1-236817141,7,2008-06-04 12:02:18,2012-01-05 14:09:00,113191602.0,Bd,d,train,risk_high,0
1-270399977,8,2008-11-13 09:43:32,2012-03-19 09:26:32,105579780.0,Bd,d,train,risk_high,0
1-270427461,5,2008-11-13 11:01:04,2012-01-18 10:19:21,100307897.0,Bd,d,train,risk_high,0
1-310231291,3,2009-06-25 09:47:52,2012-03-28 13:12:08,87017056.0,Bd,d,train,risk_high,0
1-316086072,9,2009-08-11 08:44:51,2012-02-19 21:57:21,79708350.0,Bd,d,train,risk_high,0
1-320604521,3,2009-09-07 14:33:24,2012-04-30 12:21:43,83454499.0,Bd,d,train,risk_high,0
1-322204195,10,2009-09-16 22:42:12,2012-05-24 11:03:31,84716479.0,Bd,d,train,risk_high,0
1-322581861,3,2009-09-18 12:50:02,2012-03-13 11:53:35,78361413.0,Bd,d,test,risk_high,0
1-322980802,2,2009-09-21 14:13:43,2012-02-07 13:22:11,75078508.0,Bd,d,train,risk_high,0
1-323264491,3,2009-09-22 14:22:05,2012-05-24 10:57:49,84227744.0,Bd,d,train,risk_high,0
1-323462732,9,2009-09-23 11:52:27,2012-04-19 10:01:38,81122951.0,Bd,d,val,risk_high,0
1-327329880,5,2009-10-14 18:12:54,2012-02-01 09:46:57,72545643.0,Bd,d,train,risk_high,0
1-329451027,10,2009-10-26 14:47:10,2012-03-30 10:53:53,76536403.0,Bd,d,train,risk_high,0
1-329647261,9,2009-10-27 09:42:40,2012-01-19 08:55:41,70326781.0,Bd,d,val,risk_high,0
1-330634474,6,2009-10-30 13:49:04,2012-03-30 10:54:30,76194326.0,Bd,d,train,risk_high,0
1-331478885,7,2009-11-04 08:07:28,2012-04-02 10:19:30,76039922.0,Bd,d,train,risk_high,0
1-332389008,6,2009-11-09 16:38:14,2012-04-13 13:41:36,76539802.0,Bd,d,train,risk_high,0
1-333164156,13,2009-11-12 13:41:27,2012-03-30 11:45:20,75074633.0,Bd,d,train,risk_high,0
1-335260940,5,2009-11-24 09:44:43,2012-01-18 14:26:41,67840918.0,Bd,d,train,risk_high,0
1-337229341,4,2009-12-04 12:10:14,2012-04-14 17:22:21,74495527.0,Bd,d,train,risk_high,0
1-338946805,3,2009-12-14 14:29:17,2012-01-10 09:33:57,65387080.0,Bd,d,train,risk_high,0
1-339798202,3,2009-12-16 12:59:24,2012-03-15 12:21:47,70845743.0,Bd,d,train,risk_high,0
1-339889001,3,2009-12-16 20:47:26,2012-03-14 13:07:29,70734003.0,Bd,d,train,risk_high,0
1-340984229,3,2009-12-22 09:09:31,2012-02-01 12:38:06,66626915.0,Bd,d,train,risk_high,0
1-341002175,3,2009-12-22 10:56:03,2012-02-01 12:40:25,66620662.0,Bd,d,train,risk_high,0
1-342442140,2,2010-01-05 16:42:20,2012-03-20 16:14:00,69550300.0,Bd,d,train,risk_high,0
1-345132462,7,2010-01-14 10:34:54,2012-02-01 10:24:59,64626605.0,Bd,d,test,risk_high,0
1-345255471,5,2010-01-14 15:02:21,2012-02-08 08:14:29,65207528.0,Bd,d,train,risk_high,0
1-347461373,3,2010-01-21 16:42:26,2012-04-11 16:39:02,70070196.0,Bd,d,test,risk_high,0
1-347923966,6,2010-01-25 09:19:08,2012-03-28 14:39:49,68534441.0,Bd,d,train,risk_high,0
1-347924629,4,2010-01-25 07:44:36,2012-03-30 13:24:18,68708382.0,Bd,d,train,risk_high,0
1-349857482,2,2010-01-27 13:58:09,2012-02-29 12:20:13,65917324.0,Bd,d,test,risk_high,0
1-351187625,3,2010-02-02 15:50:20,2012-04-11 16:40:09,69036589.0,Bd,d,train,risk_high,0
1-351314317,6,2010-02-03 09:34:32,2012-01-03 13:13:02,60406710.0,Bd,d,test,risk_high,0
1-351869391,3,2010-02-05 10:00:12,2012-02-23 14:37:00,64643808.0,Bd,d,train,risk_high,0
1-353818791,5,2010-02-12 14:00:54,2012-04-04 15:41:41,67570847.0,Bd,d,test,risk_high,0
1-354039443,5,2010-02-15 07:41:51,2012-01-30 12:29:51,61706880.0,Bd,d,test,risk_high,0
1-354090772,11,2010-02-15 09:33:11,2012-01-19 08:56:20,60736989.0,Bd,d,train,risk_high,0
1-354350908,4,2010-02-16 11:03:41,2012-01-20 08:40:20,60730599.0,Bd,d,train,risk_high,0
1-354376900,4,2010-02-16 11:04:37,2012-02-01 10:16:53,61773136.0,Bd,d,train,risk_high,0
1-356055231,8,2010-02-23 13:10:59,2012-01-19 08:59:01,60032882.0,Bd,d,train,risk_high,0
1-356879617,10,2010-02-26 13:39:44,2012-01-19 10:02:07,59775743.0,Bd,d,train,risk_high,0
1-357087417,6,2010-03-01 06:54:12,2012-01-30 12:30:21,60500169.0,Bd,d,train,risk_high,0
1-357610411,3,2010-03-02 11:41:18,2012-02-01 16:42:48,60584490.0,Bd,d,test,risk_high,0
