sample_id,case_id,split,prefix_end_index,prefix_length,current_event,next_activity,is_terminal_prefix,remaining_time_seconds,outcome_label,outcome_label_id,remaining_time_norm,next_activity_id
0,1-109135791,train,0,1,Cb,Ae,False,194818911.0,risk_high,0,10.301616824351138,1
1,1-109135791,train,1,2,Ae,Aa,False,1061.0,risk_high,0,-0.6405755094808264,0
2,1-109135791,train,2,3,Aa,Ae,False,916.0,risk_high,0,-0.6405836535902518,1
3,1-109135791,train,3,4,Ae,Bd,False,148.0,risk_high,0,-0.6406267892870701,4
4,1-109135791,train,4,5,Bd,EOS,True,0.0,risk_high,0,-0.640635101895311,7
5,1-147898401,train,0,1,Ae,Ae,False,164161371.0,risk_high,0,8.579697096964008,1
6,1-147898401,train,1,2,Ae,Ag,False,164150263.0,risk_high,0,8.579073202015756,2
7,1-147898401,train,2,3,Ag,Ae,False,67291135.0,risk_high,0,3.138857082890897,1
8,1-147898401,train,3,4,Ae,Ae,False,12021258.0,risk_high,0,0.03455414349784039,1
9,1-147898401,train,4,5,Ae,Bd,False,3.0,risk_high,0,-0.6406349333964954,4
10,1-147898401,train,5,6,Bd,EOS,True,0.0,risk_high,0,-0.640635101895311,7
11,1-165554831,train,0,1,Ae,Ag,False,152495178.0,risk_high,0,7.9244505289025895,2
12,1-165554831,train,1,2,Ag,Ae,False,67112892.0,risk_high,0,3.128845838088846,1
13,1-165554831,train,2,3,Ae,Ae,False,11842910.0,risk_high,0,0.024537001237240227,1
14,1-165554831,train,3,4,Ae,Bd,False,2.0,risk_high,0,-0.6406349895627672,4
15,1-165554831,train,4,5,Bd,EOS,True,0.0,risk_high,0,-0.640635101895311,7
16,1-172473423,val,0,1,Ae,Ag,False,148060756.0,risk_high,0,7.675385577136743,2
17,1-172473423,val,1,2,Ag,Ae,False,67110997.0,risk_high,0,3.128739403003598,1
18,1-172473423,val,2,3,Ae,Ae,False,11841011.0,risk_high,0,0.024430341486904483,1
19,1-172473423,val,3,4,Ae,Bd,False,17.0,risk_high,0,-0.6406341470686888,4
20,1-172473423,val,4,5,Bd,EOS,True,0.0,risk_high,0,-0.640635101895311,7
21,1-182640781,train,0,1,Ae,Ag,False,140217048.0,risk_high,0,7.23483374091426,2
22,1-182640781,train,1,2,Ag,Cb,False,65826441.0,risk_high,0,3.0565906814384136,5
23,1-182640781,train,2,3,Cb,Ae,False,42855532.0,risk_high,0,1.7664003607827259,1
24,1-182640781,train,3,4,Ae,Aa,False,10375660.0,risk_high,0,-0.05787296120621631,0
25,1-182640781,train,4,5,Aa,Ae,False,4303288.0,risk_high,0,-0.3989354580286372,1
26,1-182640781,train,5,6,Ae,Bd,False,78.0,risk_high,0,-0.640630720926103,4
27,1-182640781,train,6,7,Bd,EOS,True,0.0,risk_high,0,-0.640635101895311,7
28,1-230541365,test,0,1,Ae,Ae,False,116859284.0,risk_high,0,5.922915217143177,1
29,1-230541365,test,1,2,Ae,Ag,False,103734538.0,risk_high,0,5.185747164705006,2
30,1-230541365,test,2,3,Ag,Ae,False,67282141.0,risk_high,0,3.1383519234414394,1
31,1-230541365,test,3,4,Ae,Ae,False,12122745.0,risk_high,0,0.04025428993402991,1
32,1-230541365,test,4,5,Ae,Ae,False,12122740.0,risk_high,0,0.040254009102670414,1
33,1-230541365,test,5,6,Ae,Bd,False,3.0,risk_high,0,-0.6406349333964954,4
34,1-230541365,test,6,7,Bd,EOS,True,0.0,risk_high,0,-0.640635101895311,7
35,1-236817141,train,0,1,Ae,Ag,False,113191602.0,risk_high,0,5.716915192692986,2
36,1-236817141,train,1,2,Ag,Cb,False,66008666.0,risk_high,0,3.0668255803351654,5
37,1-236817141,train,2,3,Cb,Ae,False,43038135.0,risk_high,0,1.7766564905302553,1
38,1-236817141,train,3,4,Ae,Aa,False,10735609.0,risk_high,0,-0.03765596780252932,0
39,1-236817141,train,4,5,Aa,Ae,False,4485573.0,risk_high,0,-0.3886971891555716,1
40,1-236817141,train,5,6,Ae,Bd,False,42.0,risk_high,0,-0.6406327429118913,4
41,1-236817141,train,6,7,Bd,EOS,True,0.0,risk_high,0,-0.640635101895311,7
42,1-270399977,train,0,1,Ae,Ae,False,105579780.0,risk_high,0,5.289387528596019,1
43,1-270399977,train,1,2,Ae,Ae,False,4228208.0,risk_high,0,-0.40315242172279614,1
44,1-270399977,train,2,3,Ae,Cb,False,4227267.0,risk_high,0,-0.4032052741846529,5
45,1-270399977,train,3,4,Cb,Ae,False,2745256.0,risk_high,0,-0.48644430696760704,1
46,1-270399977,train,4,5,Ae,Cb,False,2744235.0,risk_high,0,-0.48650165273121565,5
47,1-270399977,train,5,6,Cb,Ae,False,2744209.0,risk_high,0,-0.48650311305428506,1
48,1-270399977,train,6,7,Ae,Bd,False,2744182.0,risk_high,0,-0.4865046295436263,4
49,1-270399977,train,7,8,Bd,EOS,True,0.0,risk_high,0,-0.640635101895311,7
50,1-270427461,train,0,1,Ae,Ag,False,100307897.0,risk_high,0,4.993285514599565,2
51,1-270427461,train,1,2,Ag,Ae,False,67118086.0,risk_high,0,3.129137565705088,1
52,1-270427461,train,2,3,Ae,Ae,False,5595714.0,risk_high,0,-0.3263447079036096,1
