case_id,num_events,start_time,end_time,case_duration_seconds,final_event,final_status,split,outcome_label,outcome_label_id
1-364285768,17,2010-03-31 16:59:42,2012-05-11 01:26:15,66644793.0,Bd,d,val,Bd,5
1-467153946,40,2011-01-31 11:12:22,2012-05-23 01:22:25,41263803.0,Bd,d,train,Bd,5
1-503573772,17,2011-02-24 16:17:46,2012-05-12 01:21:31,38221425.0,Bd,d,val,Bd,5
1-504538555,19,2011-02-28 14:13:33,2012-05-12 01:21:30,37883277.0,Bd,d,train,Bd,5
1-506071646,62,2011-03-07 10:42:08,2012-05-12 01:21:30,37291162.0,Bd,d,train,Bd,5
1-512795200,32,2011-04-04 16:51:24,2012-05-10 01:20:47,34676963.0,Bd,d,test,Bd,5
1-516553982,21,2011-04-13 16:04:32,2012-05-12 01:21:30,34075018.0,Bd,d,val,Bd,5
1-522528740,14,2011-05-03 09:42:21,2012-05-12 01:21:29,32369948.0,Bd,d,test,Bd,5
1-523391859,8,2011-05-05 15:47:54,2012-05-04 01:21:11,31483997.0,Bd,d,train,Bd,5
1-529067006,19,2011-05-26 15:57:29,2012-05-12 01:21:29,30360240.0,Bd,d,train,Bd,5
1-529096847,52,2011-05-26 18:01:53,2012-05-12 01:21:29,30352776.0,Bd,d,val,Bd,5
1-530458987,31,2011-06-01 09:55:53,2012-05-12 01:21:29,29863536.0,Bd,d,train,Bd,5
1-530772502,14,2011-06-02 09:22:45,2012-05-12 01:21:29,29779124.0,Bd,d,train,Bd,5
1-530838254,43,2011-06-02 17:17:44,2012-05-12 01:21:28,29750624.0,Bd,d,train,Bd,5
1-532109338,21,2011-06-08 14:58:15,2012-05-12 01:21:28,29240593.0,Bd,d,val,Bd,5
1-536444735,14,2011-06-24 14:23:13,2012-05-12 01:21:28,27860295.0,Bd,d,train,Bd,5
1-536481337,20,2011-06-24 15:58:54,2012-05-12 01:21:28,27854554.0,Bd,d,train,Bd,5
1-537219938,19,2011-06-28 12:35:39,2012-05-12 01:21:28,27521149.0,Bd,d,train,Bd,5
1-540390551,14,2011-07-11 09:20:50,2012-05-12 01:21:27,26409637.0,Bd,d,train,Bd,5
1-541468268,12,2011-07-14 19:20:42,2012-05-12 01:21:27,26114445.0,Bd,d,train,Bd,5
1-543317665,23,2011-07-25 15:45:15,2012-05-12 01:21:27,25176972.0,Bd,d,val,Bd,5
1-543979253,6,2011-07-28 11:12:37,2012-05-16 01:22:58,25279821.0,Bd,d,train,Bd,5
1-544969832,15,2011-08-03 14:17:22,2012-05-12 01:21:27,24404645.0,Bd,d,test,Bd,5
1-544976636,14,2011-08-03 13:29:56,2012-05-12 01:21:27,24407491.0,Bd,d,val,Bd,5
1-550213097,27,2011-08-16 11:20:48,2012-05-12 01:21:26,23292038.0,Bd,d,train,Bd,5
1-557297151,20,2011-08-19 12:09:56,2012-05-08 01:22:09,22684333.0,Bd,d,val,Bd,5
1-559795575,26,2011-08-22 15:54:38,2012-05-11 01:26:10,22671092.0,Bd,d,train,Bd,5
1-565045794,31,2011-08-31 13:10:52,2012-05-23 01:22:23,22939891.0,Bd,d,test,Bd,5
1-567358917,13,2011-09-05 15:35:46,2012-05-12 01:21:25,21548739.0,Bd,d,train,Bd,5
1-577292898,19,2011-09-23 13:31:56,2012-05-12 01:21:25,20000969.0,Bd,d,train,Bd,5
1-578864726,14,2011-09-28 21:45:00,2012-05-16 01:22:55,19885075.0,Bd,d,train,Bd,5
1-580893958,19,2011-10-04 13:57:50,2012-05-12 01:21:24,19049014.0,Bd,d,train,Bd,5
1-580987781,9,2011-10-06 09:37:52,2012-05-11 01:26:08,18805696.0,Bd,d,train,Bd,5
1-583200733,8,2011-10-07 14:03:58,2012-05-07 12:25:36,18397298.0,Bh,h,val,Bh,6
1-587101946,13,2011-10-14 12:36:56,2012-05-16 01:22:54,18535558.0,Bd,d,train,Bd,5
1-593737913,11,2011-10-24 15:43:56,2012-05-07 11:47:28,16920212.0,Bd,d,val,Bd,5
1-594260021,13,2011-10-25 09:19:37,2012-05-12 01:21:23,17251306.0,Bd,d,val,Bd,5
1-597436480,15,2011-10-28 13:31:29,2012-05-07 11:37:19,16581950.0,Bd,d,train,Bd,5
1-601328051,10,2011-11-03 08:52:35,2012-05-11 01:26:07,16389212.0,Bd,d,train,Bd,5
1-603556351,11,2011-11-07 08:01:02,2012-05-12 01:21:22,16132820.0,Bd,d,train,Bd,5
1-603749197,17,2011-11-07 11:15:25,2012-05-08 01:22:04,15775599.0,Bd,d,val,Bd,5
1-604144478,15,2011-11-07 17:16:16,2012-05-12 01:21:22,16099506.0,Bd,d,train,Bd,5
1-605313141,6,2011-11-11 13:45:04,2012-05-10 01:20:41,15593737.0,Bd,d,train,Bd,5
1-605956457,27,2011-11-10 15:55:46,2012-05-11 01:26:07,15759021.0,Bd,d,train,Bd,5
1-606902814,7,2011-11-14 10:47:32,2012-05-10 01:20:41,15345189.0,Bd,d,val,Bd,5
1-609835209,14,2011-11-17 11:39:45,2012-05-12 01:21:22,15255697.0,Bd,d,train,Bd,5
1-611261188,26,2011-11-18 06:45:58,2012-05-12 01:21:21,15186923.0,Bd,d,test,Bd,5
