case_id,num_events,start_time,end_time,case_duration_seconds,final_event,final_status,split,outcome_label,outcome_label_id
Case1,5,2012-10-09 14:50:17,2012-11-09 12:54:39,2671462.0,B,a,train,risk_normal,1
Case10,4,2010-02-10 08:50:20,2010-04-03 07:47:38,4489038.0,B,a,train,risk_high,0
Case100,5,2013-04-12 10:25:17,2013-05-30 13:21:20,4157763.0,B,a,val,risk_high,0
Case1000,5,2010-01-21 08:53:28,2010-03-06 09:00:57,3802049.0,B,a,train,risk_normal,1
Case1001,4,2013-03-08 17:01:24,2013-04-12 09:31:36,2997012.0,B,a,train,risk_normal,1
Case1002,4,2010-08-25 10:36:10,2010-09-25 10:40:32,2678662.0,B,a,test,risk_normal,1
Case1003,4,2010-12-23 11:23:52,2011-02-04 10:59:20,3713728.0,B,a,val,risk_normal,1
Case1004,4,2011-09-21 07:09:20,2011-10-22 07:10:49,2678489.0,B,a,val,risk_normal,1
Case1005,4,2010-12-22 08:35:14,2011-02-18 08:40:43,5011529.0,B,a,train,risk_high,0
Case1006,4,2010-01-22 11:09:40,2010-03-11 11:10:33,4147253.0,B,a,val,risk_high,0
Case1007,4,2012-10-10 10:47:41,2012-11-27 08:37:28,4139387.0,B,a,train,risk_high,0
Case1008,4,2011-10-25 14:35:19,2011-12-08 15:40:25,3805506.0,B,a,val,risk_normal,1
Case1009,5,2012-05-18 12:11:25,2012-06-28 14:10:31,3549546.0,B,a,train,risk_normal,1
Case101,5,2010-06-18 13:47:15,2010-08-05 13:50:24,4147389.0,B,a,train,risk_high,0
Case1010,5,2013-06-21 07:11:34,2013-08-01 15:39:11,3572857.0,B,a,val,risk_normal,1
Case1011,5,2011-09-06 15:37:27,2011-10-22 15:40:25,3974578.0,B,a,train,risk_normal,1
Case1012,4,2010-05-25 15:14:28,2010-06-26 15:20:26,2765158.0,B,a,train,risk_normal,1
Case1013,3,2011-11-30 16:32:54,2012-01-13 16:40:37,3802063.0,B,a,train,risk_normal,1
Case1014,6,2010-12-28 10:41:06,2011-01-28 16:55:37,2700871.0,B,a,train,risk_normal,1
Case1015,4,2012-02-10 14:44:10,2012-03-14 14:50:15,2851565.0,B,a,train,risk_normal,1
Case1016,4,2011-04-13 07:43:01,2011-06-11 07:50:56,5098075.0,B,a,train,risk_high,0
Case1017,6,2012-09-07 12:24:46,2012-10-17 07:03:17,3436711.0,B,a,train,risk_normal,1
Case1018,4,2010-09-16 09:03:22,2010-11-05 09:24:51,4321289.0,B,a,test,risk_high,0
Case1019,5,2013-02-14 15:35:55,2013-03-19 10:43:39,2833664.0,B,a,val,risk_normal,1
Case102,4,2012-01-30 09:09:29,2012-03-16 09:12:11,3974562.0,B,a,val,risk_normal,1
Case1020,5,2012-05-15 08:09:38,2012-07-06 13:30:28,4512050.0,B,a,train,risk_high,0
Case1021,4,2010-05-18 14:59:36,2010-06-25 15:01:30,3283314.0,B,a,train,risk_normal,1
Case1022,5,2012-01-05 16:55:40,2012-02-07 17:00:35,2851495.0,B,a,val,risk_normal,1
Case1023,3,2013-03-12 09:39:30,2013-04-12 12:15:06,2687736.0,B,a,train,risk_normal,1
Case1024,5,2011-07-14 07:22:19,2011-08-20 07:31:38,3197359.0,B,a,train,risk_normal,1
Case1025,6,2011-03-18 09:41:58,2011-05-05 15:42:36,4168838.0,B,a,train,risk_high,0
Case1026,5,2013-05-13 15:56:12,2013-06-19 16:05:00,3197328.0,B,a,train,risk_normal,1
Case1027,5,2013-04-16 13:36:13,2013-05-30 09:33:30,3787037.0,B,a,train,risk_normal,1
Case1028,4,2010-12-28 08:31:42,2011-01-29 10:46:26,2772884.0,B,a,val,risk_normal,1
Case1029,4,2012-05-09 09:25:28,2012-06-09 09:30:28,2678700.0,B,a,train,risk_normal,1
Case103,8,2010-06-07 07:30:54,2010-07-16 09:23:33,3376359.0,B,a,val,risk_normal,1
Case1030,6,2010-02-04 09:40:52,2010-03-09 14:05:44,2867092.0,B,a,train,risk_normal,1
Case1031,6,2011-02-24 13:41:36,2011-04-15 14:50:58,4324162.0,B,a,train,risk_high,0
Case1032,5,2012-04-11 15:07:25,2012-06-01 15:20:26,4407181.0,B,a,train,risk_high,0
Case1033,5,2011-11-10 08:25:05,2011-12-29 11:10:47,4243542.0,B,a,val,risk_high,0
Case1034,4,2011-12-13 08:22:23,2012-01-13 08:30:30,2678887.0,B,a,train,risk_normal,1
Case1035,7,2010-12-20 13:19:58,2011-01-21 16:58:17,2777899.0,B,a,train,risk_normal,1
Case1036,6,2012-05-29 15:38:19,2012-06-30 07:41:01,2736162.0,B,a,train,risk_normal,1
Case1037,4,2011-10-24 10:11:15,2011-12-09 11:20:28,3978553.0,B,a,val,risk_high,0
Case1038,4,2012-07-24 15:29:40,2012-09-01 08:14:01,3343461.0,B,a,train,risk_normal,1
Case1039,4,2012-06-28 10:14:33,2012-07-31 10:20:39,2851566.0,B,a,train,risk_normal,1
Case104,4,2011-01-27 08:34:59,2011-03-05 08:42:36,3197257.0,B,a,test,risk_normal,1
Case1040,4,2012-02-20 08:07:43,2012-04-04 07:10:38,3798175.0,B,a,train,risk_normal,1
Case1041,4,2012-05-02 10:44:47,2012-06-09 10:50:29,3283542.0,B,a,train,risk_normal,1
Case1042,4,2012-05-23 08:22:52,2012-06-23 08:30:21,2678849.0,B,a,test,risk_normal,1
Case1043,5,2012-11-15 08:29:06,2013-01-01 09:28:46,4064380.0,B,a,train,risk_high,0
Case1044,8,2010-05-13 14:45:13,2010-06-26 14:50:32,3801919.0,B,a,train,risk_normal,1
Case1045,4,2011-06-24 10:10:25,2011-08-22 10:20:40,5098215.0,B,a,test,risk_high,0
Case1046,4,2012-04-02 08:42:04,2012-05-18 08:52:05,3975001.0,B,a,val,risk_high,0
Case1047,6,2011-07-14 10:17:31,2011-08-27 10:20:45,3801794.0,B,a,train,risk_normal,1
Case1048,6,2010-12-13 10:53:33,2011-01-19 08:50:44,3189431.0,B,a,train,risk_normal,1
Case1049,4,2012-02-09 14:14:35,2012-03-24 14:20:38,3801963.0,B,a,train,risk_normal,1
Case105,5,2012-11-20 09:00:13,2012-12-22 16:04:35,2790262.0,B,a,val,risk_normal,1
Case1050,10,2011-05-12 08:27:06,2011-06-23 12:44:59,3644273.0,B,a,test,risk_normal,1
Case1051,4,2010-12-27 08:06:01,2011-02-02 11:26:23,3208822.0,B,a,train,risk_normal,1
Case1052,4,2011-02-03 14:26:08,2011-04-03 13:30:41,5094273.0,B,a,train,risk_high,0
Case1053,6,2011-06-30 14:53:16,2011-08-04 13:20:00,3018404.0,B,a,val,risk_normal,1
Case1054,5,2013-02-07 13:32:19,2013-03-16 13:51:45,3197966.0,B,a,val,risk_normal,1
Case1055,4,2012-01-23 15:13:31,2012-02-23 15:20:47,2678836.0,B,a,train,risk_normal,1
Case1056,4,2012-06-06 12:08:26,2012-07-07 12:10:46,2678540.0,B,a,val,risk_normal,1
Case1057,6,2013-01-10 16:49:27,2013-03-05 09:37:48,4639701.0,B,a,test,risk_high,0
Case1058,5,2012-06-28 12:24:41,2012-08-02 15:43:35,3035934.0,B,a,train,risk_normal,1
Case1059,4,2012-01-09 07:53:54,2012-02-19 17:00:46,3575212.0,B,a,train,risk_normal,1
Case106,3,2013-02-15 13:12:20,2013-03-20 08:06:31,2832851.0,B,a,train,risk_normal,1
Case1060,4,2011-09-02 13:25:55,2011-10-04 13:56:37,2766642.0,B,a,train,risk_normal,1
Case1061,6,2011-06-21 08:55:05,2011-08-12 09:27:14,4494729.0,B,a,train,risk_high,0
Case1062,4,2012-01-11 16:46:12,2012-03-09 09:11:08,4983896.0,B,a,val,risk_high,0
Case1063,4,2012-07-11 14:48:16,2012-09-02 14:50:27,4579331.0,B,a,test,risk_high,0
Case1064,4,2012-05-21 15:39:11,2012-07-13 15:41:15,4579324.0,B,a,train,risk_high,0
Case1065,3,2011-08-22 14:39:21,2011-09-22 14:40:15,2678454.0,B,a,test,risk_normal,1
Case1066,4,2012-05-24 09:32:06,2012-07-11 09:40:38,4147712.0,B,a,train,risk_high,0
Case1067,4,2012-02-14 10:34:26,2012-03-23 10:40:44,3283578.0,B,a,val,risk_normal,1
Case1068,4,2012-05-15 08:49:37,2012-07-07 08:50:39,4579262.0,B,a,train,risk_high,0
Case1069,4,2011-06-21 14:09:39,2011-07-24 14:11:08,2851289.0,B,a,train,risk_normal,1
