sample_id,case_id,split,prefix_end_index,prefix_length,current_event,next_activity,is_terminal_prefix,remaining_time_seconds,outcome_label,outcome_label_id,remaining_time_norm,next_activity_id
0,Case1,train,0,1,A,L,False,2671462.0,risk_normal,1,0.19202201728600274,12
1,Case1,train,1,2,L,L,False,2671418.0,risk_normal,1,0.19199334210105604,12
2,Case1,train,2,3,L,J,False,2411503.0,risk_normal,1,0.022604462659521093,10
3,Case1,train,3,4,J,B,False,1299613.0,risk_normal,1,-0.7020239780316597,1
4,Case1,train,4,5,B,EOS,True,0.0,risk_normal,1,-1.5489931401717885,5
5,Case10,train,0,1,A,L,False,4489038.0,risk_high,0,1.3765521980752118,12
6,Case10,train,1,2,L,J,False,1292432.0,risk_high,0,-0.7067038985567148,10
7,Case10,train,2,3,J,B,False,1292425.0,risk_high,0,-0.7067084605179562,1
8,Case10,train,3,4,B,EOS,True,0.0,risk_high,0,-1.5489931401717885,5
9,Case100,val,0,1,A,L,False,4157763.0,risk_high,0,1.1606573823200823,12
10,Case100,val,1,2,L,H,False,3121039.0,risk_high,0,0.48501528144038764,8
11,Case100,val,2,3,H,J,False,3101409.0,risk_high,0,0.4722222387016564,10
12,Case100,val,3,4,J,B,False,1296020.0,risk_high,0,-0.7043655675660593,1
13,Case100,val,4,5,B,EOS,True,0.0,risk_high,0,-1.5489931401717885,5
14,Case1000,train,0,1,A,A,False,3802049.0,risk_normal,1,0.9288354564532946,0
15,Case1000,train,1,2,A,L,False,3802043.0,risk_normal,1,0.9288315462008018,12
16,Case1000,train,2,3,L,J,False,3802037.0,risk_normal,1,0.9288276359483091,10
17,Case1000,train,3,4,J,B,False,3351244.0,risk_normal,1,0.6350418939553966,1
18,Case1000,train,4,5,B,EOS,True,0.0,risk_normal,1,-1.5489931401717885,5
19,Case1001,train,0,1,A,L,False,2997012.0,risk_normal,1,0.4041858004543143,12
20,Case1001,train,1,2,L,J,False,1560183.0,risk_normal,1,-0.5322082293596679,10
21,Case1001,train,2,3,J,B,False,1292415.0,risk_normal,1,-0.7067149776054441,1
22,Case1001,train,3,4,B,EOS,True,0.0,risk_normal,1,-1.5489931401717885,5
23,Case1002,test,0,1,A,L,False,2678662.0,risk_normal,1,0.19671432027728472,12
24,Case1002,test,1,2,L,J,False,2516747.0,risk_normal,1,0.0911928982170876,10
25,Case1002,test,2,3,J,B,False,2512687.0,risk_normal,1,0.08854696069700362,1
26,Case1002,test,3,4,B,EOS,True,0.0,risk_normal,1,-1.5489931401717885,5
27,Case1003,val,0,1,A,L,False,3713728.0,risk_normal,1,0.871275888051487,12
28,Case1003,val,1,2,L,J,False,2084610.0,risk_normal,1,-0.1904345653584143,10
29,Case1003,val,2,3,J,B,False,1296017.0,risk_normal,1,-0.7043675226923056,1
30,Case1003,val,3,4,B,EOS,True,0.0,risk_normal,1,-1.5489931401717885,5
31,Case1004,val,0,1,A,L,False,2678489.0,risk_normal,1,0.19660157466374417,12
32,Case1004,val,1,2,L,J,False,2240324.0,risk_normal,1,-0.0889543892494588,10
33,Case1004,val,2,3,J,B,False,2148107.0,risk_normal,1,-0.1490530149365489,1
34,Case1004,val,3,4,B,EOS,True,0.0,risk_normal,1,-1.5489931401717885,5
35,Case1005,train,0,1,A,L,False,5011529.0,risk_high,0,1.7170641539388096,12
36,Case1005,train,1,2,L,J,False,5010693.0,risk_high,0,1.7165193254248219,10
37,Case1005,train,2,3,J,B,False,3089647.0,risk_high,0,0.4645568403983983,1
38,Case1005,train,3,4,B,EOS,True,0.0,risk_high,0,-1.5489931401717885,5
39,Case1006,val,0,1,A,L,False,4147253.0,risk_high,0,1.1538079233703082,12
40,Case1006,val,1,2,L,J,False,4147242.0,risk_high,0,1.1538007545740716,10
41,Case1006,val,2,3,J,B,False,4147234.0,risk_high,0,1.1537955409040812,1
42,Case1006,val,3,4,B,EOS,True,0.0,risk_high,0,-1.5489931401717885,5
43,Case1007,train,0,1,A,L,False,4139387.0,risk_high,0,1.1486815823523326,12
44,Case1007,train,1,2,L,J,False,2844819.0,risk_high,0,0.3050002908498454,10
45,Case1007,train,2,3,J,B,False,1296010.0,risk_high,0,-0.7043720846535472,1
46,Case1007,train,3,4,B,EOS,True,0.0,risk_high,0,-1.5489931401717885,5
47,Case1008,val,0,1,A,L,False,3805506.0,risk_normal,1,0.9310884135978587,12
48,Case1008,val,1,2,L,J,False,3745239.0,risk_normal,1,0.8918118824345823,10
49,Case1008,val,2,3,J,B,False,3045790.0,risk_normal,1,0.43597484980275203,1
50,Case1008,val,3,4,B,EOS,True,0.0,risk_normal,1,-1.5489931401717885,5
51,Case1009,train,0,1,A,L,False,3549546.0,risk_normal,1,0.7642770422577849,12
52,Case1009,train,1,2,L,N,False,3541634.0,risk_normal,1,0.7591207226373651,14
53,Case1009,train,2,3,N,J,False,3538982.0,risk_normal,1,0.7573923910355762,10
54,Case1009,train,3,4,J,B,False,3219445.0,risk_normal,1,0.5491473325737338,1
55,Case1009,train,4,5,B,EOS,True,0.0,risk_normal,1,-1.5489931401717885,5
56,Case101,train,0,1,F,A,False,4147389.0,risk_high,0,1.1538965557601437,0
57,Case101,train,1,2,A,L,False,4145529.0,risk_high,0,1.1526843774873958,12
58,Case101,train,2,3,L,J,False,3219277.0,risk_high,0,0.5490378455039373,10
59,Case101,train,3,4,J,B,False,3215837.0,risk_high,0,0.5467959674081025,1
60,Case101,train,4,5,B,EOS,True,0.0,risk_high,0,-1.5489931401717885,5
61,Case1010,val,0,1,A,L,False,3572857.0,risk_normal,1,0.779469024900809,12
62,Case1010,val,1,2,L,H,False,3303167.0,risk_normal,1,0.6037096924398601,8
63,Case1010,val,2,3,H,J,False,2957222.0,risk_normal,1,0.37825430933999354,10
64,Case1010,val,3,4,J,B,False,1296017.0,risk_normal,1,-0.7043675226923056,1
65,Case1010,val,4,5,B,EOS,True,0.0,risk_normal,1,-1.5489931401717885,5
66,Case1011,train,0,1,F,A,False,3974578.0,risk_normal,1,1.0412741151731397,0
67,Case1011,train,1,2,A,L,False,3974153.0,risk_normal,1,1.0409971389549044,12
68,Case1011,train,2,3,L,J,False,3974131.0,risk_normal,1,1.0409828013624312,10
69,Case1011,train,3,4,J,B,False,3973467.0,risk_normal,1,1.040550066753235,1
70,Case1011,train,4,5,B,EOS,True,0.0,risk_normal,1,-1.5489931401717885,5
71,Case1012,train,0,1,A,L,False,2765158.0,risk_normal,1,0.253084520212552,12
72,Case1012,train,1,2,L,J,False,2504537.0,risk_normal,1,0.08323553439437195,10
73,Case1012,train,2,3,J,B,False,2504501.0,risk_normal,1,0.08321207287941554,1
74,Case1012,train,3,4,B,EOS,True,0.0,risk_normal,1,-1.5489931401717885,5
75,Case1013,train,0,1,A,J,False,3802063.0,risk_normal,1,0.9288445803757777,10
76,Case1013,train,1,2,J,B,False,2764188.0,risk_normal,1,0.25245236272622656,1
77,Case1013,train,2,3,B,EOS,True,0.0,risk_normal,1,-1.5489931401717885,5
78,Case1014,train,0,1,A,L,False,2700871.0,risk_normal,1,0.2111881198791432,12
79,Case1014,train,1,2,L,N,False,2534693.0,risk_normal,1,0.1028884634228579,14
80,Case1014,train,2,3,N,L,False,2534664.0,risk_normal,1,0.10286956386914302,12
81,Case1014,train,3,4,L,J,False,1296154.0,risk_normal,1,-0.7042782385937215,10
82,Case1014,train,4,5,J,B,False,1296020.0,risk_normal,1,-0.7043655675660593,1
83,Case1014,train,5,6,B,EOS,True,0.0,risk_normal,1,-1.5489931401717885,5
84,Case1015,train,0,1,A,L,False,2851565.0,risk_normal,1,0.3093967180691771,12
85,Case1015,train,1,2,L,J,False,2847731.0,risk_normal,1,0.3068980667263195,10
